Firstname;Lastname;Birthdate;Hometown
Bengt;Ek;1965-01-22;Jönköping
Eva;Dalström;1972-02-09;Göteborg
Lars;Bengtsson;1972-02-09;Halmstad
Viktoria;Malmgren;1984-02-13;Malmö
Billy;Rosendal;1987-02-13;Avesta
Jan;Hal;1967-03-01;Borås
Bo;Svensson;1970-03-16;Borås
Peder;Dal;1952-03-28;Växjö
Martin;Dal;1985-04-01;Gävle
Tony;Larsson;1958-06-14;Stockholm
Britta;Hasselfors;1932-06-17;Lund
Patrik;Sten;1971-07-19;Göteborg
Gunnar;Andersson;1924-08-26;Linköping
David;Dannerby;2001-08-27;Avesta
Hans;Lind;1955-08-29;Sala
Anna;Ek;1962-09-11;Jönköping
Annika;Boström;1972-11-15;Uppsala
Nils;Paulsson;1978-11-30;Norrköping
Peter;Åström;1978-12-01;Trollhättan
Linda;Hansson;1982-12-18;Lysekil
