Firstname;Lastname;Birthday;Hometown
Billy;Rosendal;987-02-13;Avesta
Tony;Larsson;958-06-14;Stockholm
Eva;Dalström;972-02-09;Göteborg
David;Dannerby;001-08-27;Avesta
Martin;Dal;985-04-01;Gävle
Annika;Boström;972-11-15;Uppsala
Jan;Hal;967-03-01;Borås
Bengt;Ek;965-01-22;Jönköping
Anna;Ek;962-09-11;Jönköping
Peter;Åström;978-12-01;Trollhättan
Hans;Lind;955-08-29;Sala
Bo;Svensson;970-03-16;Borås
Britta;Hasselfors;932-06-17;Lund
Nils;Paulsson;978-11-30;Norrköping
Viktoria;Malmgren;984-02-13;Malmö
Patrik;Sten;971-07-19;Göteborg
Lars;Bengtsson;972-02-09;Halmstad
Gunnar;Andersson;924-08-26;Linköping
Linda;Hansson;982-12-18;Lysekil
Peder;Dal;952-03-28;Växjö
