Firstname;Lastname;Birthday;Hometown
Billy;Rosendal;1987-02-13;Avesta
Tony;Larsson;1958-06-14;Stockholm
Eva;Dalström;1972-02-09;Göteborg
David;Dannerby;2001-08-27;Avesta
Martin;Dal;1985-04-01;Gävle
Annika;Boström;1972-11-15;Uppsala
Jan;Hal;1967-03-01;Borås
Bengt;Ek;1965-01-22;Jönköping
Anna;Ek;1962-09-11;Jönköping
Peter;Åström;1978-12-01;Trollhättan
Hans;Lind;1955-08-29;Sala
Bo;Svensson;1970-03-16;Borås
Britta;Hasselfors;1932-06-17;Lund
Nils;Paulsson;1978-11-30;Norrköping
Viktoria;Malmgren;1984-02-13;Malmö
Patrik;Sten;1971-07-19;Göteborg
Lars;Bengtsson;1972-02-09;Halmstad
Gunnar;Andersson;1924-08-26;Linköping
Linda;Hansson;1982-12-18;Lysekil
Peder;Dal;1952-03-28;Växjö
